date/time,kwh,,
 01/03  14:00:00,246.6939291,,
 01/03  15:00:00,244.1135561,,
 01/03  16:00:00,243.0314595,,
 01/03  17:00:00,247.9652798,,
 01/03  18:00:00,258.4526443,,
 01/03  19:00:00,255.2874006,,
 01/03  20:00:00,233.8937529,,
 01/03  21:00:00,200.2973212,,
 01/03  22:00:00,139.5972631,,
 01/03  23:00:00,94.01830037,,
 01/03  24:00:00,127.0117397,,
 01/04  01:00:00,97.32381342,,
 01/04  02:00:00,88.40322579,,
 01/04  03:00:00,87.28473565,,
 01/04  04:00:00,86.76821374,,
 01/04  05:00:00,93.20341024,,
 01/04  06:00:00,92.36377657,,
 01/04  07:00:00,136.2608735,,
 01/04  08:00:00,133.8853928,,
 01/04  09:00:00,211.137678,,
 01/04  10:00:00,241.9488856,,
 01/04  11:00:00,236.2465969,,
 01/04  12:00:00,269.7738383,,
 01/04  13:00:00,255.1863149,,
 01/04  14:00:00,251.9949986,,
 01/04  15:00:00,247.5104741,,
 01/04  16:00:00,244.2040208,,
 01/04  17:00:00,245.7979292,,
 01/04  18:00:00,253.9458527,,
 01/04  19:00:00,249.0050852,,
 01/04  20:00:00,234.8550502,,
 01/04  21:00:00,206.7768755,,
 01/04  22:00:00,146.7277571,,
 01/04  23:00:00,98.3587463,,
 01/04  24:00:00,131.0132975,,
 01/05  01:00:00,102.2931627,,
 01/05  02:00:00,93.85983371,,
 01/05  03:00:00,92.34298693,,
 01/05  04:00:00,91.21895845,,
 01/05  05:00:00,96.85707438,,
 01/05  06:00:00,95.47674744,,
 01/05  07:00:00,140.2618396,,
 01/05  08:00:00,139.38678,,
 01/05  09:00:00,215.2129543,,
 01/05  10:00:00,242.9695559,,
 01/05  11:00:00,236.7169652,,
 01/05  12:00:00,268.8913677,,
 01/05  13:00:00,253.5178407,,
 01/05  14:00:00,249.581023,,
 01/05  15:00:00,243.6393045,,
 01/05  16:00:00,239.456398,,
 01/05  17:00:00,242.4877091,,
 01/05  18:00:00,252.7453597,,
 01/05  19:00:00,250.2670249,,
 01/05  20:00:00,236.9196816,,
 01/05  21:00:00,210.3082075,,
 01/05  22:00:00,149.8148543,,
 01/05  23:00:00,100.8280267,,
 01/05  24:00:00,133.7621497,,
 01/06  01:00:00,104.7177939,,
 01/06  02:00:00,96.24623334,,
 01/06  03:00:00,95.14168322,,
 01/06  04:00:00,94.13942741,,
 01/06  05:00:00,115.6815907,,
 01/06  06:00:00,115.112696,,
 01/06  07:00:00,159.3397229,,
 01/06  08:00:00,150.9400621,,
 01/06  09:00:00,216.7186884,,
 01/06  10:00:00,243.8802519,,
 01/06  11:00:00,236.1758244,,
 01/06  12:00:00,266.4755646,,
 01/06  13:00:00,251.1212417,,
 01/06  14:00:00,249.685385,,
 01/06  15:00:00,246.0429153,,
 01/06  16:00:00,243.2733217,,
 01/06  17:00:00,245.9451135,,
 01/06  18:00:00,256.0049642,,
 01/06  19:00:00,252.5696972,,
 01/06  20:00:00,232.4008109,,
 01/06  21:00:00,207.3571488,,
 01/06  22:00:00,149.0579217,,
 01/06  23:00:00,106.1168089,,
 01/06  24:00:00,138.6767092,,
 01/07  01:00:00,108.0120497,,
 01/07  02:00:00,99.15042811,,
 01/07  03:00:00,97.95977056,,
 01/07  04:00:00,97.30192282,,
 01/07  05:00:00,103.5457653,,
 01/07  06:00:00,102.8101112,,
 01/07  07:00:00,135.1758659,,
 01/07  08:00:00,136.8071677,,
 01/07  09:00:00,198.3346014,,
 01/07  10:00:00,220.5587964,,
 01/07  11:00:00,245.0546453,,
 01/07  12:00:00,272.2189892,,
 01/07  13:00:00,254.4006045,,
 01/07  14:00:00,249.8456291,,
 01/07  15:00:00,243.5674631,,
 01/07  16:00:00,240.1177092,,
 01/07  17:00:00,243.0701533,,
 01/07  18:00:00,251.9852298,,
 01/07  19:00:00,234.1498817,,
 01/07  20:00:00,190.104726,,
 01/07  21:00:00,177.9411187,,
 01/07  22:00:00,131.9095241,,
 01/07  23:00:00,94.52015486,,
 01/07  24:00:00,127.6233714,,
 01/08  01:00:00,97.40084873,,
 01/08  02:00:00,88.57498733,,
 01/08  03:00:00,87.51967475,,
 01/08  04:00:00,86.87691472,,
 01/08  05:00:00,93.03149368,,
 01/08  06:00:00,92.12137322,,
 01/08  07:00:00,124.546704,,
 01/08  08:00:00,124.0698205,,
 01/08  09:00:00,160.2802626,,
 01/08  10:00:00,139.3863814,,
 01/08  11:00:00,177.3942551,,
 01/08  12:00:00,204.8837781,,
 01/08  13:00:00,215.8324176,,
 01/08  14:00:00,213.5600119,,
 01/08  15:00:00,211.0072893,,
 01/08  16:00:00,208.2975394,,
 01/08  17:00:00,211.0067069,,
 01/08  18:00:00,189.7503637,,
 01/08  19:00:00,192.7307942,,
 01/08  20:00:00,169.0507689,,
 01/08  21:00:00,154.6567214,,
 01/08  22:00:00,136.5962691,,
 01/08  23:00:00,85.17516552,,
 01/08  24:00:00,119.9958982,,
 01/09  01:00:00,93.20255121,,
 01/09  02:00:00,86.13444801,,
 01/09  03:00:00,85.61000737,,
 01/09  04:00:00,85.21503285,,
 01/09  05:00:00,91.23110383,,
 01/09  06:00:00,90.53243456,,
 01/09  07:00:00,134.9294952,,
 01/09  08:00:00,132.4671474,,
 01/09  09:00:00,209.5352482,,
 01/09  10:00:00,239.3015062,,
 01/09  11:00:00,233.3708029,,
 01/09  12:00:00,266.6029462,,
 01/09  13:00:00,254.5970578,,
 01/09  14:00:00,254.1401186,,
 01/09  15:00:00,250.6349319,,
 01/09  16:00:00,248.5793612,,
 01/09  17:00:00,250.7040238,,
 01/09  18:00:00,257.8684141,,
 01/09  19:00:00,253.0484237,,
 01/09  20:00:00,237.8899892,,
 01/09  21:00:00,204.5000048,,
 01/09  22:00:00,142.7138363,,
 01/09  23:00:00,91.21971447,,
 01/09  24:00:00,123.9421189,,
 01/10  01:00:00,94.15831222,,
 01/10  02:00:00,86.63769518,,
 01/10  03:00:00,85.9648617,,
 01/10  04:00:00,85.34903024,,
 01/10  05:00:00,106.9606237,,
 01/10  06:00:00,106.3209544,,
 01/10  07:00:00,150.3515642,,
 01/10  08:00:00,139.7466763,,
 01/10  09:00:00,208.1774797,,
 01/10  10:00:00,238.0257562,,
 01/10  11:00:00,232.6005547,,
 01/10  12:00:00,266.8346776,,
 01/10  13:00:00,255.8143817,,
 01/10  14:00:00,255.7995284,,
 01/10  15:00:00,251.1835014,,
 01/10  16:00:00,245.9232632,,
 01/10  17:00:00,247.4681025,,
 01/10  18:00:00,254.276801,,
 01/10  19:00:00,250.3077266,,
 01/10  20:00:00,230.1531349,,
 01/10  21:00:00,204.6589748,,
 01/10  22:00:00,145.9330822,,
 01/10  23:00:00,101.4034289,,
 01/10  24:00:00,132.6547804,,
 01/11  01:00:00,102.3600889,,
 01/11  02:00:00,92.7215979,,
 01/11  03:00:00,90.49317522,,
 01/11  04:00:00,88.9170285,,
 01/11  05:00:00,94.64785907,,
 01/11  06:00:00,93.28675556,,
 01/11  07:00:00,136.7879191,,
 01/11  08:00:00,133.5270741,,
 01/11  09:00:00,211.5737031,,
 01/11  10:00:00,242.8886825,,
 01/11  11:00:00,236.4425158,,
 01/11  12:00:00,267.3880359,,
 01/11  13:00:00,254.4002818,,
 01/11  14:00:00,252.9185885,,
 01/11  15:00:00,246.5664201,,
 01/11  16:00:00,246.9601083,,
 01/11  17:00:00,253.3099502,,
 01/11  18:00:00,263.1033669,,
 01/11  19:00:00,256.6649215,,
 01/11  20:00:00,236.2541959,,
 01/11  21:00:00,204.3364008,,
 01/11  22:00:00,142.9909389,,
 01/11  23:00:00,92.79308525,,
 01/11  24:00:00,125.4191391,,
 01/12  01:00:00,95.82725844,,
 01/12  02:00:00,86.93665932,,
 01/12  03:00:00,86.20092403,,
 01/12  04:00:00,85.86875657,,
 01/12  05:00:00,91.92628066,,
 01/12  06:00:00,91.32139608,,
 01/12  07:00:00,136.023969,,
 01/12  08:00:00,134.2533036,,
 01/12  09:00:00,212.0124139,,
 01/12  10:00:00,241.9331848,,
 01/12  11:00:00,238.4028133,,
 01/12  12:00:00,276.0865852,,
 01/12  13:00:00,265.8504322,,
 01/12  14:00:00,264.6065141,,
 01/12  15:00:00,258.6040543,,
 01/12  16:00:00,252.9198372,,
 01/12  17:00:00,255.7730162,,
 01/12  18:00:00,265.4637995,,
 01/12  19:00:00,261.465355,,
 01/12  20:00:00,249.2068669,,
 01/12  21:00:00,221.705464,,
 01/12  22:00:00,158.2115754,,
 01/12  23:00:00,109.1095673,,
 01/12  24:00:00,141.2237855,,
 01/13  01:00:00,113.4653692,,
 01/13  02:00:00,103.639108,,
 01/13  03:00:00,101.0434057,,
 01/13  04:00:00,98.87313853,,
 01/13  05:00:00,119.6817387,,
 01/13  06:00:00,118.3901865,,
 01/13  07:00:00,160.836282,,
 01/13  08:00:00,151.6357126,,
 01/13  09:00:00,218.0790518,,
 01/13  10:00:00,250.1748965,,
 01/13  11:00:00,245.7638362,,
 01/13  12:00:00,275.9048096,,
 01/13  13:00:00,260.8668289,,
 01/13  14:00:00,258.0621258,,
 01/13  15:00:00,256.8282395,,
 01/13  16:00:00,254.7943001,,
 01/13  17:00:00,252.2171544,,
 01/13  18:00:00,262.8592535,,
 01/13  19:00:00,258.329,,
 01/13  20:00:00,240.8722378,,
 01/13  21:00:00,215.9330161,,
 01/13  22:00:00,153.6118132,,
 01/13  23:00:00,109.8026338,,
 01/13  24:00:00,140.8109048,,
 01/14  01:00:00,110.1506828,,
 01/14  02:00:00,100.0384506,,
 01/14  03:00:00,97.76377334,,
 01/14  04:00:00,95.95052583,,
 01/14  05:00:00,101.0674929,,
 01/14  06:00:00,99.60614967,,
 01/14  07:00:00,130.1483298,,
 01/14  08:00:00,128.485619,,
 01/14  09:00:00,191.5050658,,
 01/14  10:00:00,216.6409213,,
 01/14  11:00:00,245.9526043,,
 01/14  12:00:00,276.6426084,,
 01/14  13:00:00,261.4328576,,
 01/14  14:00:00,257.8303492,,
 01/14  15:00:00,253.6261285,,
 01/14  16:00:00,254.708594,,
 01/14  17:00:00,256.0751746,,
 01/14  18:00:00,267.5154176,,
 01/14  19:00:00,249.1474621,,
 01/14  20:00:00,209.0692257,,
 01/14  21:00:00,193.3068898,,
 01/14  22:00:00,134.7167324,,
 01/14  23:00:00,92.56052616,,
 01/14  24:00:00,125.6510513,,
 01/15  01:00:00,96.61410521,,
 01/15  02:00:00,87.60310546,,
 01/15  03:00:00,85.5812256,,
 01/15  04:00:00,84.43445221,,
 01/15  05:00:00,90.2693052,,
 01/15  06:00:00,88.9358256,,
 01/15  07:00:00,120.9083858,,
 01/15  08:00:00,118.2797459,,
 01/15  09:00:00,155.8903345,,
 01/15  10:00:00,134.9595238,,
 01/15  11:00:00,173.3123245,,
 01/15  12:00:00,204.9421435,,
 01/15  13:00:00,219.3998938,,
 01/15  14:00:00,221.5822993,,
 01/15  15:00:00,218.2941329,,
 01/15  16:00:00,213.9356617,,
 01/15  17:00:00,213.6633005,,
 01/15  18:00:00,198.0409478,,
 01/15  19:00:00,205.0143419,,
 01/15  20:00:00,190.6149642,,
 01/15  21:00:00,178.7906126,,
 01/15  22:00:00,160.5145996,,
 01/15  23:00:00,109.9889493,,
 01/15  24:00:00,140.5880402,,
 01/16  01:00:00,110.8819364,,
 01/16  02:00:00,98.52939989,,
 01/16  03:00:00,94.62273299,,
 01/16  04:00:00,90.79007754,,
 01/16  05:00:00,94.08027393,,
 01/16  06:00:00,91.98466144,,
 01/16  07:00:00,123.2692934,,
 01/16  08:00:00,119.9328377,,
 01/16  09:00:00,157.6255219,,
 01/16  10:00:00,137.6060564,,
 01/16  11:00:00,176.5893628,,
 01/16  12:00:00,207.7664199,,
 01/16  13:00:00,223.1417429,,
 01/16  14:00:00,222.0953537,,
 01/16  15:00:00,218.2462074,,
 01/16  16:00:00,212.461069,,
 01/16  17:00:00,210.2077773,,
 01/16  18:00:00,192.6948725,,
 01/16  19:00:00,200.6224151,,
 01/16  20:00:00,189.0294318,,
 01/16  21:00:00,177.660101,,
 01/16  22:00:00,153.4109191,,
 01/16  23:00:00,100.0562967,,
 01/16  24:00:00,131.4170254,,
 01/17  01:00:00,103.3964595,,
 01/17  02:00:00,91.77839853,,
 01/17  03:00:00,89.62442046,,
 01/17  04:00:00,88.76255263,,
 01/17  05:00:00,111.9081786,,
 01/17  06:00:00,109.8143286,,
 01/17  07:00:00,153.0579289,,
 01/17  08:00:00,141.7470106,,
 01/17  09:00:00,215.2791583,,
 01/17  10:00:00,248.5324379,,
 01/17  11:00:00,245.7897937,,
 01/17  12:00:00,279.5409445,,
 01/17  13:00:00,266.0450098,,
 01/17  14:00:00,264.6383771,,
 01/17  15:00:00,261.6528482,,
 01/17  16:00:00,256.7754125,,
 01/17  17:00:00,253.7969801,,
 01/17  18:00:00,261.6844374,,
 01/17  19:00:00,255.8034218,,
 01/17  20:00:00,230.5866112,,
 01/17  21:00:00,199.7596334,,
 01/17  22:00:00,137.8484521,,
 01/17  23:00:00,90.60920624,,
 01/17  24:00:00,125.0729918,,
 01/18  01:00:00,98.10723312,,
 01/18  02:00:00,89.21996272,,
 01/18  03:00:00,88.5224803,,
 01/18  04:00:00,87.9267765,,
 01/18  05:00:00,95.05147735,,
 01/18  06:00:00,94.5205814,,
 01/18  07:00:00,138.2379592,,
 01/18  08:00:00,137.7332801,,
 01/18  09:00:00,218.5812131,,
 01/18  10:00:00,251.9090978,,
 01/18  11:00:00,248.2765005,,
 01/18  12:00:00,283.6379412,,
 01/18  13:00:00,274.8314427,,
 01/18  14:00:00,270.7902392,,
 01/18  15:00:00,265.3601353,,
 01/18  16:00:00,257.4221371,,
 01/18  17:00:00,254.7753693,,
 01/18  18:00:00,262.2051499,,
 01/18  19:00:00,258.5499903,,
 01/18  20:00:00,247.3236715,,
 01/18  21:00:00,217.9918989,,
 01/18  22:00:00,155.829757,,
 01/18  23:00:00,105.3352431,,
 01/18  24:00:00,137.607253,,
 01/19  01:00:00,109.2705777,,
 01/19  02:00:00,99.04227403,,
 01/19  03:00:00,97.2215445,,
 01/19  04:00:00,94.8899231,,
 01/19  05:00:00,100.7679067,,
 01/19  06:00:00,99.66175853,,
 01/19  07:00:00,143.7298047,,
 01/19  08:00:00,143.6057121,,
 01/19  09:00:00,221.5836359,,
 01/19  10:00:00,251.4610581,,
 01/19  11:00:00,244.2175782,,
 01/19  12:00:00,278.4986766,,
 01/19  13:00:00,268.399925,,
 01/19  14:00:00,268.2718268,,
 01/19  15:00:00,263.1407461,,
 01/19  16:00:00,262.3887182,,
 01/19  17:00:00,260.6109312,,
 01/19  18:00:00,270.1112018,,
 01/19  19:00:00,265.6473576,,
 01/19  20:00:00,254.7650948,,
 01/19  21:00:00,228.9648049,,
 01/19  22:00:00,166.0184801,,
 01/19  23:00:00,116.9482898,,
 01/19  24:00:00,146.7170307,,
 01/20  01:00:00,119.8966328,,
 01/20  02:00:00,109.5296596,,
 01/20  03:00:00,107.8809912,,
 01/20  04:00:00,106.7193438,,
 01/20  05:00:00,129.4478041,,
 01/20  06:00:00,127.6373754,,
 01/20  07:00:00,171.0737754,,
 01/20  08:00:00,163.499215,,
 01/20  09:00:00,229.1754692,,
 01/20  10:00:00,258.6077415,,
 01/20  11:00:00,253.143205,,
 01/20  12:00:00,285.1203988,,
 01/20  13:00:00,269.3590929,,
 01/20  14:00:00,264.8819301,,
 01/20  15:00:00,257.2468149,,
 01/20  16:00:00,255.8146908,,
 01/20  17:00:00,255.2407338,,
 01/20  18:00:00,269.3203144,,
 01/20  19:00:00,265.3742534,,
 01/20  20:00:00,247.7608485,,
 01/20  21:00:00,222.7923264,,
 01/20  22:00:00,158.9734389,,
 01/20  23:00:00,114.978986,,
 01/20  24:00:00,146.6722733,,
 01/21  01:00:00,118.7795848,,
 01/21  02:00:00,109.5586716,,
 01/21  03:00:00,108.6287244,,
 01/21  04:00:00,107.451499,,
 01/21  05:00:00,113.7427569,,
 01/21  06:00:00,112.7927677,,
 01/21  07:00:00,145.0031551,,
 01/21  08:00:00,148.5504067,,
 01/21  09:00:00,209.2784788,,
 01/21  10:00:00,232.7673108,,
 01/21  11:00:00,257.4608462,,
 01/21  12:00:00,285.2151919,,
 01/21  13:00:00,273.2728214,,
 01/21  14:00:00,274.0439695,,
 01/21  15:00:00,267.5610622,,
 01/21  16:00:00,261.8784704,,
 01/21  17:00:00,259.891897,,
 01/21  18:00:00,270.2641518,,
 01/21  19:00:00,250.7398654,,
 01/21  20:00:00,209.8444411,,
 01/21  21:00:00,197.4671692,,
 01/21  22:00:00,149.637862,,
 01/21  23:00:00,112.6775718,,
 01/21  24:00:00,144.0545106,,
 01/22  01:00:00,117.7091093,,
 01/22  02:00:00,107.5523326,,
 01/22  03:00:00,104.8340539,,
 01/22  04:00:00,102.8460696,,
 01/22  05:00:00,108.5213494,,
 01/22  06:00:00,107.1802222,,
 01/22  07:00:00,138.9335462,,
 01/22  08:00:00,140.792321,,
 01/22  09:00:00,175.7493592,,
 01/22  10:00:00,156.951102,,
 01/22  11:00:00,194.6922556,,
 01/22  12:00:00,224.3888972,,
 01/22  13:00:00,239.0620864,,
 01/22  14:00:00,237.8940238,,
 01/22  15:00:00,231.5231423,,
 01/22  16:00:00,225.4926965,,
 01/22  17:00:00,222.8231217,,
 01/22  18:00:00,208.4779125,,
 01/22  19:00:00,212.1456903,,
 01/22  20:00:00,196.580194,,
 01/22  21:00:00,185.0085253,,
 01/22  22:00:00,164.9932275,,
 01/22  23:00:00,112.7116755,,
 01/22  24:00:00,143.6704944,,
 01/23  01:00:00,119.4890168,,
 01/23  02:00:00,109.5952057,,
 01/23  03:00:00,107.3544091,,
 01/23  04:00:00,104.5687179,,
 01/23  05:00:00,108.9383831,,
 01/23  06:00:00,106.924409,,
 01/23  07:00:00,149.2836757,,
 01/23  08:00:00,148.9059305,,
 01/23  09:00:00,225.9008077,,
 01/23  10:00:00,257.7834853,,
 01/23  11:00:00,253.6115053,,
 01/23  12:00:00,282.7715224,,
 01/23  13:00:00,271.960518,,
 01/23  14:00:00,272.195407,,
 01/23  15:00:00,265.9965849,,
 01/23  16:00:00,262.4575849,,
 01/23  17:00:00,262.3904052,,
 01/23  18:00:00,273.5301444,,
 01/23  19:00:00,268.2242789,,
 01/23  20:00:00,256.6097557,,
 01/23  21:00:00,229.5613675,,
 01/23  22:00:00,164.3113155,,
 01/23  23:00:00,114.7978006,,
 01/23  24:00:00,145.7716722,,
 01/24  01:00:00,118.6446708,,
 01/24  02:00:00,107.1268849,,
 01/24  03:00:00,103.2710608,,
 01/24  04:00:00,100.3462739,,
 01/24  05:00:00,119.8207254,,
 01/24  06:00:00,117.1342457,,
 01/24  07:00:00,159.6256517,,
 01/24  08:00:00,151.9907212,,
 01/24  09:00:00,223.9826382,,
 01/24  10:00:00,256.7705179,,
 01/24  11:00:00,249.8715504,,
 01/24  12:00:00,279.7647347,,
 01/24  13:00:00,266.266695,,
 01/24  14:00:00,264.9708621,,
 01/24  15:00:00,257.6301291,,
 01/24  16:00:00,254.4690572,,
 01/24  17:00:00,254.1717182,,
 01/24  18:00:00,261.6915395,,
 01/24  19:00:00,256.3580309,,
 01/24  20:00:00,237.988615,,
 01/24  21:00:00,207.8259203,,
 01/24  22:00:00,145.5278041,,
 01/24  23:00:00,100.9470344,,
 01/24  24:00:00,134.1467593,,
 01/25  01:00:00,104.9369087,,
 01/25  02:00:00,95.37045999,,
 01/25  03:00:00,94.11223537,,
 01/25  04:00:00,92.18479943,,
 01/25  05:00:00,97.92582319,,
 01/25  06:00:00,97.56711283,,
 01/25  07:00:00,138.5359006,,
 01/25  08:00:00,140.1779985,,
 01/25  09:00:00,217.3710707,,
 01/25  10:00:00,246.3510244,,
 01/25  11:00:00,238.6006775,,
 01/25  12:00:00,270.7915753,,
 01/25  13:00:00,257.2983394,,
 01/25  14:00:00,257.2707778,,
 01/25  15:00:00,250.9953154,,
 01/25  16:00:00,245.28556,,
 01/25  17:00:00,245.5315589,,
 01/25  18:00:00,258.8267654,,
 01/25  19:00:00,257.9684672,,
 01/25  20:00:00,247.2724857,,
 01/25  21:00:00,217.7579417,,
 01/25  22:00:00,157.770613,,
 01/25  23:00:00,111.5126212,,
 01/25  24:00:00,142.9468066,,
 01/26  01:00:00,115.8371982,,
 01/26  02:00:00,104.9826529,,
 01/26  03:00:00,103.1800011,,
 01/26  04:00:00,101.5127649,,
 01/26  05:00:00,106.9103377,,
 01/26  06:00:00,104.8651019,,
 01/26  07:00:00,144.3662006,,
 01/26  08:00:00,148.5200428,,
 01/26  09:00:00,225.9750076,,
 01/26  10:00:00,257.0074487,,
 01/26  11:00:00,251.7665141,,
 01/26  12:00:00,280.7453266,,
 01/26  13:00:00,267.1229428,,
 01/26  14:00:00,266.005408,,
 01/26  15:00:00,261.5252293,,
 01/26  16:00:00,256.4459098,,
 01/26  17:00:00,257.6791668,,
 01/26  18:00:00,270.9108379,,
 01/26  19:00:00,266.4504179,,
 01/26  20:00:00,253.6494986,,
 01/26  21:00:00,228.0176945,,
 01/26  22:00:00,164.4616406,,
 01/26  23:00:00,114.1639775,,
 01/26  24:00:00,143.4750416,,
 01/27  01:00:00,114.8146771,,
 01/27  02:00:00,104.3126287,,
 01/27  03:00:00,101.739825,,
 01/27  04:00:00,99.59751628,,
 01/27  05:00:00,120.873002,,
 01/27  06:00:00,119.7097259,,
 01/27  07:00:00,159.4418765,,
 01/27  08:00:00,155.1663269,,
 01/27  09:00:00,222.7413333,,
 01/27  10:00:00,254.795564,,
 01/27  11:00:00,249.7278586,,
 01/27  12:00:00,279.5906336,,
 01/27  13:00:00,264.6622369,,
 01/27  14:00:00,262.5402678,,
 01/27  15:00:00,262.4396377,,
 01/27  16:00:00,260.7768785,,
 01/27  17:00:00,258.5539529,,
 01/27  18:00:00,271.66046,,
 01/27  19:00:00,269.2539407,,
 01/27  20:00:00,250.6033322,,
 01/27  21:00:00,225.7553945,,
 01/27  22:00:00,162.1471371,,
 01/27  23:00:00,117.2428769,,
 01/27  24:00:00,148.5150356,,
 01/28  01:00:00,121.0947964,,
 01/28  02:00:00,111.9937158,,
 01/28  03:00:00,111.1740332,,
 01/28  04:00:00,110.4646183,,
 01/28  05:00:00,116.5059791,,
 01/28  06:00:00,115.085391,,
 01/28  07:00:00,143.5307716,,
 01/28  08:00:00,150.1360137,,
 01/28  09:00:00,211.111981,,
 01/28  10:00:00,235.0657957,,
 01/28  11:00:00,260.5486679,,
 01/28  12:00:00,286.5055585,,
 01/28  13:00:00,272.9451544,,
 01/28  14:00:00,271.3936536,,
 01/28  15:00:00,264.9026663,,
 01/28  16:00:00,260.7057175,,
 01/28  17:00:00,260.392142,,
 01/28  18:00:00,273.0814797,,
 01/28  19:00:00,254.2042157,,
 01/28  20:00:00,211.8842407,,
 01/28  21:00:00,197.2400661,,
 01/28  22:00:00,148.3454495,,
 01/28  23:00:00,110.929265,,
 01/28  24:00:00,142.3155923,,
 01/29  01:00:00,115.0272382,,
 01/29  02:00:00,105.4499431,,
 01/29  03:00:00,103.827038,,
 01/29  04:00:00,102.2428226,,
 01/29  05:00:00,107.282025,,
 01/29  06:00:00,105.4171967,,
 01/29  07:00:00,132.9588894,,
 01/29  08:00:00,137.3037588,,
 01/29  09:00:00,170.9308188,,
 01/29  10:00:00,151.1065103,,
 01/29  11:00:00,190.61895,,
 01/29  12:00:00,223.6552873,,
 01/29  13:00:00,239.7094968,,
 01/29  14:00:00,238.6459978,,
 01/29  15:00:00,233.9102919,,
 01/29  16:00:00,229.721859,,
 01/29  17:00:00,228.1925502,,
 01/29  18:00:00,206.6484389,,
 01/29  19:00:00,211.5211595,,
 01/29  20:00:00,195.628487,,
 01/29  21:00:00,184.2078464,,
 01/29  22:00:00,164.9372962,,
 01/29  23:00:00,112.7832452,,
 01/29  24:00:00,142.961775,,
 01/30  01:00:00,118.0226824,,
 01/30  02:00:00,108.3999467,,
 01/30  03:00:00,105.8676047,,
 01/30  04:00:00,103.6467468,,
 01/30  05:00:00,107.8686178,,
 01/30  06:00:00,105.3216597,,
 01/30  07:00:00,143.6389926,,
 01/30  08:00:00,146.0105459,,
 01/30  09:00:00,223.3758812,,
 01/30  10:00:00,257.8858744,,
 01/30  11:00:00,258.7153619,,
 01/30  12:00:00,288.916683,,
 01/30  13:00:00,276.9664586,,
 01/30  14:00:00,275.1931859,,
 01/30  15:00:00,269.3310907,,
 01/30  16:00:00,265.1842535,,
 01/30  17:00:00,263.2244831,,
 01/30  18:00:00,271.0313913,,
 01/30  19:00:00,268.4964279,,
 01/30  20:00:00,256.7937581,,
 01/30  21:00:00,231.21787,,
 01/30  22:00:00,166.1031143,,
 01/30  23:00:00,115.4520201,,
 01/30  24:00:00,145.9150497,,
 01/31  01:00:00,118.6891996,,
 01/31  02:00:00,107.5341702,,
 01/31  03:00:00,103.6177669,,
 01/31  04:00:00,99.88094155,,
 01/31  05:00:00,119.0964499,,
 01/31  06:00:00,116.5223244,,
 01/31  07:00:00,156.19661,,
 01/31  08:00:00,150.4639578,,
 01/31  09:00:00,217.1155296,,
 01/31  10:00:00,253.4933537,,
 01/31  11:00:00,253.5158475,,
 01/31  12:00:00,283.2437682,,
 01/31  13:00:00,271.1111475,,
 01/31  14:00:00,272.3598294,,
 01/31  15:00:00,268.9336054,,
 01/31  16:00:00,264.3247725,,
 01/31  17:00:00,262.1310503,,
 01/31  18:00:00,269.2574049,,
